grid_id,cnt_store,cnt_112,cnt_5crime,cnt_cctv,cnt_patrol,sigungu,x_center,y_center
나라683533,3,0,0,0,0,신안군,868350.0,1653350.0
나라685591,1,0,0,0,0,신안군,868550.0,1659150.0
나라686189,1,0,0,0,0,신안군,868650.0,1618950.0
나라687587,1,1,1,0,0,신안군,868750.0,1658750.0
나라688523,2,0,0,0,0,신안군,868850.0,1652350.0
나라688524,1,1,0,0,0,신안군,868850.0,1652450.0
나라689585,2,0,0,1,1,신안군,868950.0,1658550.0
나라689586,1,0,0,0,0,신안군,868950.0,1658650.0
나라690251,1,0,0,0,0,신안군,869050.0,1625150.0
나라690325,1,0,0,0,0,신안군,869050.0,1632550.0
나라690535,1,0,0,0,0,신안군,869050.0,1653550.0
나라690583,2,0,0,0,0,신안군,869050.0,1658350.0
나라690584,1,0,0,0,0,신안군,869050.0,1658450.0
나라693246,1,0,0,0,0,신안군,869350.0,1624650.0
나라693462,1,0,0,0,0,신안군,869350.0,1646250.0
나라694546,1,0,0,0,0,신안군,869450.0,1654650.0
나라694575,2,0,0,0,0,신안군,869450.0,1657550.0
나라694792,1,0,0,0,0,신안군,869450.0,1679250.0
나라695793,2,0,0,0,0,신안군,869550.0,1679350.0
나라696237,1,1,0,0,0,신안군,869650.0,1623750.0
나라696793,3,0,0,0,0,신안군,869650.0,1679350.0
나라697199,1,0,0,0,0,신안군,869750.0,1619950.0
나라697595,1,0,0,0,0,신안군,869750.0,1659550.0
나라697596,1,0,0,0,0,신안군,869750.0,1659650.0
나라697795,2,0,0,0,0,신안군,869750.0,1679550.0
나라698795,1,1,0,0,0,신안군,869850.0,1679550.0
나라699415,1,0,0,0,0,신안군,869950.0,1641550.0
나라699795,8,0,0,1,1,신안군,869950.0,1679550.0
나라700251,2,0,0,0,0,신안군,870050.0,1625150.0
나라700795,4,1,0,0,0,신안군,870050.0,1679550.0
나라701791,1,0,0,0,0,신안군,870150.0,1679150.0
나라701795,2,0,0,1,0,신안군,870150.0,1679550.0
나라702221,1,0,0,0,0,신안군,870250.0,1622150.0
나라702591,1,0,0,0,0,신안군,870250.0,1659150.0
나라703145,1,0,0,0,0,진도군,870350.0,1614550.0
나라703216,2,2,0,0,0,신안군,870350.0,1621650.0
나라703221,1,0,0,0,0,신안군,870350.0,1622150.0
나라703222,2,0,0,0,0,신안군,870350.0,1622250.0
나라703415,2,2,0,0,0,신안군,870350.0,1641550.0
나라705221,1,0,0,4,0,신안군,870550.0,1622150.0
나라705484,1,0,0,0,0,신안군,870550.0,1648450.0
나라705785,2,0,0,0,0,신안군,870550.0,1678550.0
나라706220,2,0,0,0,1,신안군,870650.0,1622050.0
나라706379,1,1,0,0,0,신안군,870650.0,1637950.0
나라707221,1,0,0,0,0,신안군,870750.0,1622150.0
나라707521,1,0,0,0,0,신안군,870750.0,1652150.0
나라707781,1,0,0,0,0,신안군,870750.0,1678150.0
나라7078,2,0,0,0,0,신안군,870500.0,1678500.0
나라708221,5,0,0,0,0,신안군,870850.0,1622150.0
나라709036,1,0,0,0,0,진도군,870950.0,1603650.0
나라709221,1,0,0,0,0,신안군,870950.0,1622150.0
나라710221,1,0,0,0,0,신안군,871050.0,1622150.0
나라710222,3,0,0,0,0,신안군,871050.0,1622250.0
나라711226,2,0,0,0,0,신안군,871150.0,1622650.0
나라711804,3,0,0,0,0,신안군,871150.0,1680450.0
나라713483,1,1,0,0,0,신안군,871350.0,1648350.0
나라714038,1,0,0,0,0,진도군,871450.0,1603850.0
나라714049,1,0,0,0,0,진도군,871450.0,1604950.0
나라714233,1,0,0,0,0,신안군,871450.0,1623350.0
나라715057,1,0,0,0,0,진도군,871550.0,1605750.0
나라715059,2,0,0,0,1,진도군,871550.0,1605950.0
나라716056,1,0,0,0,0,진도군,871650.0,1605650.0
나라717060,2,0,0,0,0,진도군,871750.0,1606050.0
나라717781,1,0,0,0,0,신안군,871750.0,1678150.0
나라718229,2,0,0,0,0,신안군,871850.0,1622950.0
나라718469,1,0,0,0,0,신안군,871850.0,1646950.0
나라718752,1,0,0,0,0,신안군,871850.0,1675250.0
나라718810,2,0,0,0,0,신안군,871850.0,1681050.0
나라719158,1,0,0,0,0,진도군,871950.0,1615850.0
나라719231,1,2,1,0,0,신안군,871950.0,1623150.0
나라719781,1,0,0,0,0,신안군,871950.0,1678150.0
나라720516,1,0,0,0,0,신안군,872050.0,1651650.0
나라720682,1,0,0,0,0,신안군,872050.0,1668250.0
나라720780,2,2,0,0,0,신안군,872050.0,1678050.0
나라720781,2,0,0,0,0,신안군,872050.0,1678150.0
나라720794,1,0,0,0,1,신안군,872050.0,1679450.0
나라720797,1,0,0,0,0,신안군,872050.0,1679750.0
나라721348,1,0,0,0,0,신안군,872150.0,1634850.0
나라721753,1,0,0,0,0,신안군,872150.0,1675350.0
나라721781,1,0,0,0,1,신안군,872150.0,1678150.0
나라722065,1,0,0,0,0,진도군,872250.0,1606550.0
나라722227,1,0,0,0,0,,872250.0,1622750.0
나라723780,4,0,0,2,0,신안군,872350.0,1678050.0
나라723781,1,0,0,1,0,신안군,872350.0,1678150.0
나라724066,1,0,0,0,0,진도군,872450.0,1606650.0
나라724067,2,0,0,0,0,진도군,872450.0,1606750.0
나라724780,2,0,0,0,0,신안군,872450.0,1678050.0
나라724781,1,1,1,0,0,신안군,872450.0,1678150.0
나라725225,1,1,0,1,1,신안군,872550.0,1622550.0
나라725489,1,0,0,0,0,신안군,872550.0,1648950.0
나라727014,1,2,0,0,0,진도군,872750.0,1601450.0
나라727360,1,0,0,0,0,신안군,872750.0,1636050.0
나라727739,1,0,0,0,0,신안군,872750.0,1673950.0
나라727783,1,0,0,0,0,신안군,872750.0,1678350.0
나라727785,1,0,0,0,0,신안군,872750.0,1678550.0
나라728068,1,0,0,0,0,진도군,872850.0,1606850.0
나라728361,2,0,0,0,0,신안군,872850.0,1636150.0
나라728789,1,0,0,0,0,신안군,872850.0,1678950.0
나라728790,1,0,0,0,0,신안군,872850.0,1679050.0
