grid_id,cnt_store,cnt_112,cnt_5crime,cnt_cctv,cnt_patrol,sigungu,x_center,y_center,hotspot,z_112,z_5crime,z_cctv,z_patrol,need_score,rank_in_sigungu
다라804236,8,10,0,2,1,고흥군,980450.0,1623650.0,True,0.07760158618747355,-0.5148400149209998,-0.36089366678241347,1.0119177007070443,-0.7627504456958417,63
다라847428,17,6,0,5,0,고흥군,984750.0,1642850.0,True,-0.26547911064135676,-0.5148400149209998,0.6276411596215885,-0.5979513685996171,-0.7951640210733422,64
다라656074,6,0,0,2,0,고흥군,965650.0,1607450.0,True,-0.7801001558846022,-0.5148400149209998,-0.36089366678241347,-0.5979513685996171,-0.8155176531145867,65
다라673145,9,13,0,4,1,고흥군,967350.0,1614550.0,True,0.3349121088090963,-0.5148400149209998,0.29812955082025455,1.0119177007070443,-0.834951531875553,66
다라665150,9,3,0,4,0,고흥군,966550.0,1615050.0,True,-0.5227896332629794,-0.5148400149209998,0.29812955082025455,-0.5979513685996171,-0.887718739294298,67
다라958079,17,5,0,1,1,고흥군,995850.0,1607950.0,True,-0.3512492848485643,-0.5148400149209998,-0.6904052755837475,1.0119177007070443,-1.0268455123312126,68
다라836127,6,2,0,5,0,고흥군,983650.0,1612750.0,True,-0.608559807470187,-0.5148400149209998,0.6276411596215885,-0.5979513685996171,-1.1382447179021724,69
다라666149,23,7,0,8,0,고흥군,966650.0,1614950.0,True,-0.17970893643414917,-0.5148400149209998,1.6161759860255906,-0.5979513685996171,-1.2036612600681358,70
다라852197,9,1,0,0,1,고흥군,985250.0,1619750.0,True,-0.6943299816773947,-0.5148400149209998,-1.0199168843850814,1.0119177007070443,-1.205170404759376,71
다라807244,7,2,0,1,1,고흥군,980750.0,1624450.0,True,-0.608559807470187,-0.5148400149209998,-0.6904052755837475,1.0119177007070443,-1.2841560349528351,72
다라673149,8,3,0,2,1,고흥군,967350.0,1614950.0,True,-0.5227896332629794,-0.5148400149209998,-0.36089366678241347,1.0119177007070443,-1.3631416651462946,73
다라702191,14,1,0,1,1,고흥군,970250.0,1619150.0,True,-0.6943299816773947,-0.5148400149209998,-0.6904052755837475,1.0119177007070443,-1.369926209160043,74
다라963078,6,1,0,1,1,고흥군,996350.0,1607850.0,True,-0.6943299816773947,-0.5148400149209998,-0.6904052755837475,1.0119177007070443,-1.369926209160043,74
다라799234,27,5,0,8,0,고흥군,979950.0,1623450.0,True,-0.3512492848485643,-0.5148400149209998,1.6161759860255906,-0.5979513685996171,-1.375201608482551,75
다라853197,10,2,0,2,1,고흥군,985350.0,1619750.0,True,-0.608559807470187,-0.5148400149209998,-0.36089366678241347,1.0119177007070443,-1.448911839353502,76
다라835127,6,0,0,1,1,고흥군,983550.0,1612750.0,True,-0.7801001558846022,-0.5148400149209998,-0.6904052755837475,1.0119177007070443,-1.4556963833672505,77
다라654072,8,0,0,6,0,고흥군,965450.0,1607250.0,True,-0.7801001558846022,-0.5148400149209998,0.9571527684229225,-0.5979513685996171,-1.4745408707172547,78
다라874316,13,5,0,5,1,고흥군,987450.0,1631650.0,True,-0.3512492848485643,-0.5148400149209998,0.6276411596215885,1.0119177007070443,-1.6858687299338806,79
